-6.1875,106.0625,nan
-6.1875,106.1875,nan
-6.1875,106.3125,nan
-6.1875,106.4375,nan
-6.1875,106.5625,nan
-6.1875,106.6875,nan
-6.1875,106.8125,nan
-6.1875,106.9375,nan
-6.1875,107.0625,nan
-6.1875,107.1875,nan
-6.0625,106.0625,nan
-6.0625,106.1875,nan
-6.0625,106.3125,nan
-6.0625,106.4375,nan
-6.0625,106.5625,nan
-6.0625,106.6875,nan
-6.0625,106.8125,0.97452
-6.0625,106.9375,0.98336
-6.0625,107.0625,0.99540
-6.0625,107.1875,nan
-5.9375,106.0625,0.94173
-5.9375,106.1875,0.94250
-5.9375,106.3125,0.94969
-5.9375,106.4375,0.95662
-5.9375,106.5625,0.96456
-5.9375,106.6875,0.97158
-5.9375,106.8125,0.97789
-5.9375,106.9375,0.99146
-5.9375,107.0625,1.00014
-5.9375,107.1875,0.99829
-5.8125,106.0625,0.93976
-5.8125,106.1875,0.95606
-5.8125,106.3125,0.96329
-5.8125,106.4375,0.96957
-5.8125,106.5625,0.97639
-5.8125,106.6875,0.98333
-5.8125,106.8125,0.99045
-5.8125,106.9375,0.99206
-5.8125,107.0625,0.99879
-5.8125,107.1875,1.01101
-5.6875,106.0625,0.95391
-5.6875,106.1875,0.95890
-5.6875,106.3125,0.96564
-5.6875,106.4375,0.97297
-5.6875,106.5625,0.98067
-5.6875,106.6875,0.98845
-5.6875,106.8125,0.99646
-5.6875,106.9375,1.00429
-5.6875,107.0625,1.01171
-5.6875,107.1875,1.01794
